seq,candidate_name,notes
257,HARISH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
258,HARIT KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
259,HARI DUTT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
260,HARI DUTT SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
261,HARI DUTT SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
262,HARI RATTAN SOLANKI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
263,HAROON YUSUF,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
264,HAROON YUSUF,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
265,HAROON YUSUF,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
266,HARPREET SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
267,HARSH NATH VERMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
268,HARSH VARDHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
269,HEMRAJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
270,IMPREET SINGH BAKSHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
271,IMPREET SINGH BAKSHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
272,IMPREET SINGH BAKSHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
273,IMRAN HUSSAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
274,IMRAN HUSSAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
275,IMRAN HUSSAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
276,IMRAN KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
277,IMRAN MATLUB KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
278,IMRAN MATLUB KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
279,INDU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
280,IQBAL SINGH  SONU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
281,ISHWAR,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
282,ISRAR AHMED,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
283,JAGANNATH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
284,JAGDISH CHAND,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
285,JAGDISH PRADHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
286,JAGDISH PRADHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
287,JAGDISH PRADHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
288,JAGDISH PRADHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
289,JAGDISH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
290,JAI BHAGWAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
291,JAI BHAGWAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
292,JAI BHAGWAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
293,JAI KISHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
294,JAI KISHAN,name_from_filename (Part A regex missed); no_movable_totals
295,JAI KISHAN,name_from_filename (Part A regex missed); no_movable_totals
296,JAI KRISHAN GAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
297,JAI PAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
298,JAI PARKASH  J P,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
299,JAI PARKASH  J P,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
300,JAI PARKASH  J P,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
301,JAI PRAKASH PANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
302,JAI PRAKASH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
303,JAI RAM LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
304,JAI SINGH UJJAIN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
305,JAKIR CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
306,JAMALUDDIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
307,JANAB MULLA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
308,JARNAIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
309,JARNAIL SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
310,JARNAIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
311,JARNAIL SINGH,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
312,JARNAIL SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
313,JARNAIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
314,JARNAIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
315,JAY PRAKASH SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
316,JITENDAR KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
317,JITENDER MAHAJAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
318,JITENDER MAHAJAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
319,JITENDER MAHAJAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
320,JUGAL KISHOR CHAWLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
321,J S NAYOL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
322,KAILASH GAHLOT,name_from_filename (Part A regex missed); no_estamp_cert; no_pan
323,KAILASH GAHLOT,name_from_filename (Part A regex missed); no_pending_cases_count
324,KAILASH SANKLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
325,KAILASH SANKLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
326,KAILASH SANKLA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
327,KAILASH SANKLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
328,KAILASH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
329,KALI PASWAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
330,KALI RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
331,KAMAL KANT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
332,KAMAL KANT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
333,KAMAL KANT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
334,KAMAL KANT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
335,KAMAL KISHORE,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
336,KAMAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
337,KAMAL SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
338,KAMAL SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
339,KAMAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
340,KAMESHWAR THAKUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
341,KANISHK SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
342,KAPIL ARORA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
343,KAPIL ARORA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
344,KAPIL MISHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
345,KAPIL MISHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
346,KARAM CHAND LATHWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
347,KARAM SINGH KARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
348,KARAM SINGH KARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
349,KARMVIR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
350,KARTAR SINGH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
351,KARTAR SINGH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
352,KAUSHAL KUMAR MISHRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
353,KAUSHAL KUMAR MISHRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
354,KAUSHAL MISHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
355,KAVITA RANI SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
356,KAVITA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
357,KHEM CHAND,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
358,KHUSHIRAM CHUNAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
359,KHUSHIRAM CHUNAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
360,KIRAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
361,KIRAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
362,KIRTI SINGH PANWAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
363,KRISHAN GAHLOT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
364,KRISHAN GAHLOT,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
365,KRISHAN KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
366,KRISHNA AVTAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
367,KRISHNA MOHAN JHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
368,KRISHNA THAKUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
369,KRISHNA TIRATH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
370,KULDEEP KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
371,KULDEEP KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
372,KULDEEP KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
373,KUMAR SHEODHVJ RATNA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
374,KUSUM KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
375,KUSUM KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
376,K  P  RANGARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
377,LALIT GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
378,LALIT KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
379,LATA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
380,LAXMAN KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
381,LAXMAN KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
382,LAXMAN RAWAT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
383,LAXMAN RAWAT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
384,LAXMAN RAWAT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
385,LEKHRAJ JATAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
386,LOKENDER KAPASHERA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
387,LUKMAN KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
388,MADAN LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
389,MADAN LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
390,MADAN SAH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
391,MAHENDER CHAUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
392,MAHENDER CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
393,MAHENDER KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
394,MAHENDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
395,MAHINDER YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
396,MAHINDER YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
397,MAHINDER YADAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
398,MAHIPAL SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
399,MAHIPAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
400,MANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
401,MANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
402,MANISH CHANDILA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
403,MANISH CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
404,MANISH CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
405,MANISH CHAUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
406,MANISH CHAUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
407,MANISH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
408,MANISH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
409,MANISH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
410,MANISH SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
411,MANISH SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
412,MANISH SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
413,MANISH SISODIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
414,MANISH SISODIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
415,MANJU YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
416,MANOJ BAWAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
417,MANOJ KUMAR RAY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
418,MANOJ KUMAR RAY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
419,MANOJ KUMAR RAY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
420,MANOJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
421,MANOJ KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
422,MANOJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
423,MANOJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
424,MANOJ RAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
425,MANOJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
426,MAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
427,MAYANK KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
428,MAYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
429,MAYUR BHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
430,MAY SINGH SHAYAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
431,MD AMJAD,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
432,MD FAIZAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
433,MD RIYAZUDDIN KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
434,MD  HAROON,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
435,MEENA SURYAWANSHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
436,MIRZA JAVED ALI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
437,MIRZA JAVED ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
438,MIRZA JAVED ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
439,MIRZA JAVED ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
440,MOBIN ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
441,MOHAMMAD KASIM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
442,MOHAN SINGH BISHT,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
443,MOHAN SINGH BISHT,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
444,MOHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
445,MOHD  AFZAL,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
446,MOHD  ASLAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
447,MOHD  ILIAS,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
448,MOHD  MEHBOB ALAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
449,MOHD  SUHAIL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
450,MOHINDER GOYAL,name_from_filename (Part A regex missed); no_pending_cases_count
451,MOHINDER GOYAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
452,MOHINDER GOYAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
453,MOHINDER GOYAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
454,MOHINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
455,MOHINDER SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
456,MOHIT,name_from_filename (Part A regex missed); no_pan; no_movable_totals
457,MOHIT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
458,MONU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
459,MUKESH BABU SAXENA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
460,MUKESH KUMAR AHLAWAT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
461,MUKESH KUMAR AHLAWAT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
462,MUKESH KUMAR GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
463,MUKESH KUMAR GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
464,MUKESH KUMAR GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
465,MUKESH KUMAR GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
466,MUKESH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
467,MUKESH SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
468,MUKESH SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
469,MUKESH SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
470,MUKESH SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
471,MUKESH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
472,MUKH RAM SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
473,MULAYAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
474,MUNISH BAGGA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
475,MURARI LAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
476,MURARI LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
477,MUSARRAT ALI KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
478,MUSARRAT ALI KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
479,MUSTQIM AHMED,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
480,M I  ANSARI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
481,M U DUA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
482,M U DUA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
483,NAGENDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
484,NAGENDRA KUMAR TIWARI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
485,NAGESHWAR DAS,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
486,NAMAHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
487,NAND KISHORE BENIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
488,NAND KISHORE BENIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
489,NAND KISHORE BENIWAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
490,NAND KISHORE GOEL,movable_self_only; no_pan; no_pending_cases_count
491,NARAYAN DUTT SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
492,NARENDER GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
493,NARENDER KUMAR BANSAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
494,NARENDRA PAL SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
495,NARESH BALYAN,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
496,NARESH GAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
497,NARESH KUMAR CHANDALIYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
498,NARESH KUMAR NAGPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
499,NARESH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
500,NARESH YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
501,NARESH YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
502,NARESH YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
503,NARESH YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
504,NAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
505,NATHU RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
506,NATHU RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
507,NAVEEN CHAUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
508,NAVEEN CHAUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
509,NAVEEN CHAUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
510,NAVEEN CHAUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
511,NAVEEN KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
512,NEELAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
513,NEELAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
514,NEEL DAMAN KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
515,NEEL DAMAN KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
516,NEEL DAMAN KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
